list of phonemes,All,Akha,Akoose,Alangan,Alladian,Anufo,Arabic,Aruamu,Ashaninca,Avokaya,Awadhi,Aymara,Bali,Bekwarra,Bench,Bhojpuri,Biate,Bokyi,Bora,CandoshiShapra,Carib,Chamacoco,Chipaya,Cofan,Dangaleat,Duala,Duri,Dutch,Eleme,Galela,Gamo,Garhwali,Gidar,Guahibo,Guayabero,Hadiyya,Hiligaynon,Hindi,Huambisa,Huli,Ignaciano,Ilokano,Ipili,Javanese,Jingpho,Kalabari,KalmykOirat,Kannada,Karakalpak,Karamojong,Kashinawa,Kazakh,Kera,Khasi,Konso,Koorete,Kui,Kuman,Kumyk,Kyrgyz,Lao,Lobi,Luwo,Madi,Maka,Malay,Marba_Azumeina,Mentawai,MofuGudur,Mongondow,Morisyen,Moro,Mundari,Munukutuba,Murle,Musgu,Napu,Paez,Palauan,Pampangan,Parecis,Patamona,Paumari,Peve,Pijin,Pokoot,Polish,Qeqchi,Romanian,Samoan,Sango,Sanuma,Sasak,Shilluk,ShipiboConibo,Shuar,Tamasheq,Tektiteko,Terena,Teribe,Teso,Thai,Themne,Ticuna,Tobelo,Tol,Trio,Tucano,Tuva,Vai,Vietnamese,Waimaha,Waiwai,Yawa
SIL-JH,0.0006546667781135086,0.003143830233167409,0.0010023178600513688,0.0,0.000633401365331832,0.0003497971176717504,6.149683291310498e-05,0.000224290680722216,0.0002581977794990963,0.00033049110978914666,0.0005754475703324808,0.00023352209702843133,0.0012414649286157666,0.0005521430050383049,0.0003224766204450177,0.001241387871640494,0.0,0.0004013646397752358,0.00022100842989296877,0.0001755001755001755,0.00038948393378773126,0.0006273167949814657,0.000843906413688744,0.0007674597083653108,0.00022996435552489363,0.0006145903755147194,0.00036645697184388936,0.0003551346552234389,0.0019569471624266144,0.00039300451955197487,0.00011876484560570071,0.0019874905009645174,0.0001502494140272853,0.0,0.0011451301832208294,0.0006584145377929945,0.00024076080414108582,0.002508565834557024,0.0009814109225262672,0.0,6.087538808059901e-05,0.00012072920439454304,0.001924433895695683,0.00018478595626732368,0.00195826862043352,0.0014899092509819856,0.0006271247978347691,0.00040990806347719155,0.0009734728644439036,0.0002453536158989143,0.0009629935341862705,0.0009875324034069868,0.0011556474666991059,0.0007414730598121602,0.0002760905577029266,0.0005082592121982211,0.0004870393419557335,0.000366188587122368,0.00017201834862385322,0.0025373931623931625,0.0006965111125182043,0.0005682176905107645,0.0002754631223744921,0.000749063670411985,0.00041656748393239704,0.0012216404886561956,0.0010086626320161387,0.00017864586434824034,0.00011500201253521937,0.0001172882946281961,0.0008279287981233614,0.000315357931251971,0.00012382367508667657,0.000278473962684489,0.0001828933731634457,0.00024073182474723158,0.0,0.0015973495829142755,0.00011755025273304338,0.00017068730086481566,0.0007091695624423799,0.0017566380649956083,0.001248513674197384,0.000437636761487965,0.00026935301406022733,0.000927299703264095,0.0008360271987515327,0.0013085112710402665,0.0017503621438918397,0.00026135249918327345,0.001185351550315054,0.001105583195135434,0.00016107382550335572,0.000463284688441047,0.0002912150137518201,0.0005721551176096631,0.00029318634924357923,0.0005489645917838299,0.0004246026931942254,0.0010297998326575272,0.00017280110592707794,0.0006669091790954286,0.0005496392992098935,0.0009605532786885246,0.0,0.0011970313622216902,0.0005774505557961599,0.0010603751076943468,0.001451466586029634,0.0002762812543168946,0.0005989458552946814,0.00036101083032490973,0.00138727577751968,0.000732795949636933
AA-R,0.0013794049239150075,0.0007204610951008645,0.0005638037962788949,0.0004089501665011392,0.0005630234358505173,0.0008395130824122009,0.0004919746633048398,0.003981159582819334,0.0005809450038729666,0.0031066164320179787,0.0024296675191815857,0.00046704419405686266,0.0013656114214773433,0.0007591966319276692,0.000709448564979039,0.0021103593817888397,0.0010864702498881574,0.001806140878988561,0.00018943579705111609,0.0004212004212004212,0.0033755274261603376,0.002737382378100941,0.0005529042020719358,0.0007674597083653108,0.001667241577555479,0.00018437711265441583,0.0035424173944909303,0.0010358094110683633,0.002516074923119933,0.0022925263640531865,0.000831353919239905,0.0032735137662944992,0.0007211971873309694,0.0006224712107065049,0.00024108003857280618,0.0004608901764550961,0.0004213314072469002,0.004711209006363191,0.0008082207597275141,0.001360818507131697,0.0010957569854507822,0.001509115054931788,0.0057733016870870485,0.0017862642439174623,0.0013505300830576,0.0033861573885954218,0.0010562101858269796,0.0022837734965157814,0.0013993672426381115,0.001472121695393486,0.0006878525244187646,0.005122824342673744,0.001581412322851408,0.0025951557093425604,0.0007362414872078042,0.0006988564167725541,0.002110503815141512,0.001281660054928288,0.0009747706422018349,0.0011351495726495727,0.001329703032989299,0.0011995706799671697,0.0005509262447489842,0.0033367381681988426,0.0019638181385384433,0.0015706806282722514,0.0008306633440132907,0.002024653129280057,0.0013800241504226323,0.0030494956603330987,0.0010349109976542017,0.0020182907600126143,0.0031575037147102527,0.001113895850737956,0.002255684935682497,0.0005416466056812711,0.002056625762665387,0.0005324498609714252,0.006230163394851299,0.0008534365043240783,0.00028366782497695197,0.002297142084994257,0.00041617122473246133,0.001437949359174742,0.0009158002478047729,0.001112759643916914,0.0011704380782521459,0.00041634449533099386,0.0013882182520521488,0.001633453119895459,0.0004990953896063385,0.0007370554634236226,0.0012348993288590604,0.0011582117211026176,0.0005824300275036402,0.00012714558169103624,0.0009381963175794535,0.00018298819726127665,0.00024263011039670022,0.0008045311192636931,0.0012672081101319048,0.0007275372862859222,0.0012366884232222603,0.00012807377049180329,0.002479892761394102,0.0007780703854440987,0.0007218131947452,0.0005301875538471734,0.0006652555185969156,0.0005525625086337892,0.0006588404408241495,0.0006618531889290012,0.0014195380049038585,0.003930451002598095
P-AO,0.0016351654159761717,0.0032093266963583965,0.0014408319238238426,0.00146053630893264,0.0021817158139207544,0.000909472505946551,0.0004919746633048398,0.001233598743972188,0.00012909888974954814,0.0011236697732830987,0.00044757033248081843,0.0014595131064276958,0.0013035381750465549,0.0016564290151149148,0.00019348597226701063,0.0007448327229842964,0.0015338403527832812,0.002073717305505385,0.0025258106273482145,0.0022815022815022815,0.004349237260629666,0.005645851154833191,0.002066115702479339,0.0005116398055768739,0.0013797861331493618,0.0007375084506176633,0.0007939901056617602,0.0017756732761171944,0.002166620072686609,0.002620030130346499,0.0007719714964370546,0.0006430116326649909,0.001051745898190997,0.00036310820624546115,0.003977820636451302,0.001316829075585989,0.0022872276393403152,0.0015907978463044542,0.0015009814109225262,0.0009576130235371201,0.0003652523284835941,0.0028371363032717615,0.0006414779652318943,0.001663073606405913,0.0007427915456816801,0.003995665718542598,0.0005611116612205829,0.0008198161269543831,0.0014602092966658554,0.0012881064834693002,0.0006878525244187646,0.0023453894580915935,0.0005474119579101028,0.0017918932278793871,0.0006442113013068287,0.0017789072426937739,0.0012446560961090968,0.002380225816295392,0.0007454128440366973,0.0008012820512820513,0.008674729310453998,0.0020203295662604964,0.0004820604641553612,0.0019067075246850527,0.0013092120923589622,0.002036067481093659,0.00041533167200664533,0.0014291669147859227,0.0008625150940141452,0.002345765892563922,0.004484614323168208,0.0005676442762535478,0.0008048538880633977,0.0012809802283486494,0.0001828933731634457,0.0005416466056812711,0.002262288338931926,0.0007690942436253919,5.877512636652169e-05,0.0014792899408284023,0.0007091695624423799,0.0025673940949935813,0.00041617122473246133,0.0005626758361988121,0.0020470829068577278,0.0014218595450049456,0.001950730130420243,0.0011895557009456968,0.0020521487204249156,0.0011760862463247304,0.0032441200324412004,0.0006756341748049874,0.0008053691275167785,0.000617712917921396,0.0011648600550072804,0.0009535918626827717,0.00029318634924357923,0.0014029095123364542,0.002972218852359578,0.003057218253202034,0.0021312136397672946,0.006123438826239845,0.0019237375472346272,0.001600922131147541,0.002680965147453083,0.0014962892027771128,0.003609065973726,0.0006627344423089668,0.004898699727850015,0.0020030390937974857,0.0003593675131768088,0.0006618531889290012,0.001548586914440573,0.002931183798547732
AA-D,0.0011897117213882339,0.0018993974325386429,0.0013781870575706322,0.0008179003330022784,0.0015483144485889226,0.0004897159647404506,0.0010454461595227845,0.001065380733430526,0.0009682416731216112,0.0025117324343975145,0.002237851662404092,5.838052425710783e-05,0.0011173184357541898,0.00048312512940851683,0.0008384392131570461,0.002917261498355161,0.0017894804115804947,0.0006689410662920597,0.000694597922520759,0.0004563004563004563,0.0003245699448231094,0.00034217279726261765,0.00017460132697008496,0.00044768482987976463,0.0014947683109118087,0.0012291807510294388,0.0014658278873755574,0.001361349511689849,0.0013978194017332962,0.0008515097923626121,0.0021377672209026127,0.001929034897994973,0.0018931426167437947,0.00025936300446104365,0.0004218900675024108,0.0007900974453515934,0.000782472613458529,0.0014684287812041115,0.0006927606511950121,0.0024696335870167834,0.0007305046569671882,0.002112761076904503,0.0014753993200333569,0.0009239297813366184,0.00229590114119792,0.0025734796153325207,0.00046209195629930356,0.003923405750424548,0.0006692625943051837,0.0013494448874440286,0.0004127115146512588,0.0009258116281940501,0.004379295663280823,0.0009268413247652002,0.0025154917479599977,0.0023506988564167726,0.0036798528058877645,0.0007934086054317974,0.001261467889908257,0.00040064102564102563,0.0008864686886595327,0.0017046530715322937,0.0015150471730597066,0.0029281579843377595,0.00041656748393239704,0.0011634671320535194,0.001067995728017088,0.0014291669147859227,0.001265022137887413,0.0009383063570255688,0.0008969228646336415,0.0013875748975086723,0.0014239722634967805,0.0007797270955165692,0.002682436139730537,0.0003610977371208474,0.0005484335367107699,0.0006507720522984085,0.001880804043728694,0.0006827492034592626,0.001631089993617474,0.0006756300249983109,0.001070154577883472,0.001312910284463895,0.0004848354253084092,0.0012363996043521265,0.00022294058633374206,0.0007137334205674181,0.001508932882665379,0.000718719372754002,0.0013725123214174309,0.001105583195135434,0.0026845637583892616,0.0007721411474017451,0.0014560750687591004,0.00019071837253655435,0.0014072944763691803,0.0005184665589069505,0.0004246026931942254,0.00041835618201712044,0.001094407004204827,0.0009094216078574026,0.0020611473720371005,0.0004482581967213115,0.0020107238605898124,0.0006583672492219296,0.0005052692363216399,0.001259195440387037,0.0003023888720895071,0.002210250034535157,0.0010182079540009582,0.00036101083032490973,0.00022583559168925022,6.661781360335754e-05
UH-AA,0.0003308369574411538,0.0005894681687188892,0.0002505794650128422,0.0001168429047146112,0.0009852910127384053,0.00020987827060305023,0.00036898099747862984,0.000672872042166648,0.00032274722437387036,0.00046268755370480535,0.0005754475703324808,5.838052425710783e-05,0.0004345127250155183,0.00013803575125957622,6.449532408900354e-05,0.0011172490844764446,0.00012782002939860676,0.00046825874640444177,0.0001578631642092634,0.0001053001053001053,0.000519311911716975,0.0002281151981750784,2.910022116168083e-05,0.0001918649270913277,0.0005174197999310107,0.00036875422530883165,0.0003053808098699078,0.0005918910920390648,0.0002795638803466592,0.00013100150651732494,0.0004156769596199525,0.0007014672356345355,0.00021034917963819942,0.0,0.0003616200578592093,0.0004608901764550961,0.0,0.0005506607929515419,0.00028865027133125504,0.00030240411269593265,0.00012175077616119802,0.00018109380659181456,0.0003848867791391366,0.0003079765937788728,0.0003376325207644,0.0007449546254909928,0.00013202627322837245,5.8558294782455936e-05,0.00018252616208323192,0.0003680304238483715,0.0003439262622093823,6.172077521293668e-05,0.0005474119579101028,0.00024715768660405336,0.00024541382906926803,0.0007623888182973316,0.0002164619297581038,0.000366188587122368,0.00022935779816513763,0.0005341880341880342,0.00012663838409421896,0.0006944882884020456,0.0010329867089043454,0.00020429009193054137,0.00011901928112354201,0.0004072134962187318,0.000355998576005696,0.000535937593044721,0.0,0.0002345765892563922,0.0011039050641644817,0.0001892147587511826,0.0004952947003467063,0.0003341687552213868,0.0007925379503749314,0.0001805488685604237,0.00013710838417769247,5.916109566349169e-05,0.00035265075819913014,0.0001137915339098771,0.000780086518686618,0.0,0.00011890606420927467,0.000437636761487965,0.00026935301406022733,0.000927299703264095,0.00027867573291717756,0.00023791114018913937,0.0004828585224529213,6.533812479581836e-05,0.0006862561607087154,0.0003071064430931761,0.0004832214765100671,0.00038607057370087253,0.00025885779000161787,0.0002542911633820725,0.00011727453969743169,0.0003049803287687944,0.0005459177483925755,0.0002574499581643818,0.0005184033177812338,0.00012125621438098702,0.0008244589488148403,0.00012807377049180329,0.0,0.00011970313622216902,0.00043308791684711995,0.00013254688846179335,0.00042334442092530994,0.00048349219505456557,5.989458552946814e-05,6.016847172081829e-05,0.00041940895599432187,0.00026647125441343016
N-D,0.0029470015210491885,0.0015064186533927167,0.003758691975192633,0.002044750832505696,0.0018298261665141812,0.0023786204001679024,0.0009839493266096796,0.00364472356173601,0.0038084172476116705,0.0028422235441866615,0.0025575447570332483,0.000992468912370833,0.0032278088144009932,0.0022085720201532196,0.00619155111254434,0.0036620942213394575,0.0054962612641400906,0.002274399625393003,0.0010734695166229912,0.0016848016848016849,0.002012333657903278,0.0005702879954376961,0.0019206145966709346,0.0031337938091583525,0.003679429688398298,0.007129248355970745,0.002076589507115373,0.00739863865048831,0.00174727425216662,0.0006550075325866247,0.0028503562945368173,0.0030981469573858654,0.002884788749323878,0.0009855794169519659,0.0024108003857280617,0.003423755596523571,0.0027687492476224872,0.0014072442486539403,0.0032328830389100564,0.0028728390706113604,0.00012175077616119802,0.0028371363032717615,0.0037847199948681763,0.006097936556821682,0.0081031804983456,0.0018285249898415277,0.004620919562993035,0.0035720559817298122,0.002798734485276223,0.000736060847696743,0.00213234282569817,0.006912726823848908,0.008272002919530442,0.0035837864557587743,0.002362108104791705,0.002668360864040661,0.0050327398668759135,0.007262740311260299,0.0029243119266055047,0.006009615384615385,0.004052428291015007,0.0017677883704779343,0.002410302320776806,0.003881511746680286,0.00035705784337062603,0.003955788248981966,0.0034413195680550613,0.00172691002203299,0.0046575815076763845,0.0025216983345062163,0.0013108872636953223,0.005550299590034689,0.004148093115403665,0.004399888610414926,0.004450405413643846,0.0018054886856042369,0.001165421265510386,0.0023664438265396676,0.0025273304337604325,0.0019913518434228495,0.00028366782497695197,0.0017566380649956083,0.0013674197384066587,0.00612691466083151,0.001993212304045682,0.0035237388724035606,0.0012819083714190169,0.0017248557663712603,0.004043940125543216,0.0004573668735707285,0.0050533408197641775,0.0017197960813217861,0.005422818791946309,0.0010037834916222686,0.0013266461737582915,0.004767959313413859,0.003752785270317814,0.0036902619781024122,0.0006065752759917505,0.0012228873012808136,0.0005760036864235932,0.004183339396144053,0.001992442459635864,0.0011526639344262295,0.0010053619302949062,0.005506344266219775,0.0027428901400317596,0.001656836105772417,0.004777744179014212,0.0010360547036883548,0.006169142309535218,0.0007220216606498195,0.0008065556846044651,0.0019319165944973685
AA-M,0.006748373218122658,0.008383547288446425,0.007078869886612792,0.006309516854589005,0.007389682595538039,0.00909472505946551,0.003074841645655249,0.01026129864304138,0.004389362251484637,0.005684447088373323,0.007800511508951407,0.00566291085293946,0.005648665425201738,0.01097384222513631,0.005482102547565301,0.010055241760288002,0.010928612513580878,0.007692822262358686,0.0065986802639472104,0.006072306072306072,0.007854592664719247,0.0017678927858568577,0.004277732510767082,0.007866462010744436,0.006439001954697022,0.011247003871919365,0.013070298662432053,0.005741343592778929,0.004053676265026559,0.006026069299796948,0.007185273159144893,0.008534518033553515,0.012681050543902879,0.00368295466334682,0.008558341369334619,0.006518303924150645,0.00782472613458529,0.008259911894273128,0.007389446946080129,0.010684945315256288,0.008461678943203262,0.010201617771338886,0.01674257489255244,0.005728364644287034,0.0131676683098116,0.01598266287417039,0.002739545169488728,0.0033378228025999885,0.004928206376247262,0.004171011470281543,0.0039895446416288345,0.0048142204666090605,0.006386472842284533,0.005499258526940188,0.01128903613718633,0.0036213468869123254,0.00909140104984036,0.009948123283490998,0.010435779816513762,0.003872863247863248,0.006458557588805167,0.006439800492455332,0.0053026651057089735,0.010827374872318692,0.007200666507974292,0.00447934845840605,0.0088999644001424,0.014232120526409814,0.005922603645563797,0.006509500351864884,0.008762246446805575,0.004099653106275623,0.008234274393263992,0.0035644667223614594,0.007559592757422423,0.005597014925373134,0.007335298553506547,0.0031355380701650593,0.007699541554014341,0.0072257624032771965,0.002411176512304092,0.0024998310924937506,0.002853745541022592,0.010190684588934042,0.00344771857997091,0.004698318496538081,0.003065433062088953,0.00184381133646583,0.004285369386769677,0.006403136229990199,0.005178114667165762,0.006019286284626252,0.004885906040268457,0.0030113504748668055,0.0029768645850186052,0.0034965034965034965,0.00451506977835112,0.0021348623013815607,0.004609972097537304,0.0012550685460513613,0.012672081101319049,0.007578513398811689,0.013328753005839918,0.0027535860655737705,0.008378016085790885,0.004847977016997846,0.01039411000433088,0.0032473987673139375,0.003568188690656184,0.018787125293548833,0.003174413033061811,0.005595667870036101,0.006678281068524971,0.014122976483911798
P-SPN,0.00010210399291678575,6.549646319098769e-05,0.0,0.0,7.037792948131466e-05,6.995942353435007e-05,0.00012299366582620996,0.0,0.00012909888974954814,0.0002643928878313173,0.0,0.00011676104851421566,6.207324643078833e-05,0.0,6.449532408900354e-05,6.206939358202471e-05,0.0,0.0,9.471789852555804e-05,0.0,0.0,0.0001140575990875392,0.00026190199045512746,0.0003197748784855462,0.0,6.145903755147194e-05,0.0,0.0001479727730097662,0.0001397819401733296,0.0,5.9382422802850356e-05,0.0,3.004988280545706e-05,0.0001556178026766262,0.00018081002892960464,0.0,6.0190201035271456e-05,0.00030592266275085656,0.00017319016279875303,5.040068544932211e-05,0.0008522554331283862,0.00018109380659181456,0.0,0.0,0.0,6.772314777190844e-05,0.00016503284153546557,5.8558294782455936e-05,0.0002433682161109759,0.00012267680794945715,0.0,0.0003086038760646834,0.0,0.00024715768660405336,0.00018406037180195104,0.00012706480304955527,5.411548243952595e-05,6.1031431187061336e-05,0.00011467889908256881,0.001001602564102564,6.331919204710948e-05,6.313529894564051e-05,0.0,0.0,0.00023803856224708403,0.0006399069226294357,5.933309600094933e-05,0.0,0.0,0.0,0.00027597626604112044,0.0001261431725007884,0.0,5.56947925368978e-05,0.0,0.0,6.855419208884623e-05,0.00011832219132698337,5.877512636652169e-05,0.0001137915339098771,0.000425501737465428,6.756300249983109e-05,0.0,0.0,0.0,0.0,5.5735146583435515e-05,0.0002973889252364242,0.0,0.0,0.0,0.00018426386585590566,5.3691275167785237e-05,7.72141147401745e-05,0.0,0.00019071837253655435,5.863726984871584e-05,6.099606575375888e-05,0.00012131505519835011,6.436248954109545e-05,0.0,0.00024251242876197404,6.870491240123669e-05,0.00012807377049180329,6.702412868632708e-05,0.00017955470433325354,0.0,6.627344423089668e-05,6.047777441790142e-05,0.0,0.0,0.00012033694344163658,0.0,0.0001998534408100726
AY-IY,0.002128167538638103,0.0011789363374377785,0.0006264486625321055,0.007477945901735117,0.0005630234358505173,0.0012592696236183015,0.002582866982350409,0.000728944712347202,0.0049057578104828295,0.00297441998810232,0.005562659846547314,0.0026271235915698524,0.0027312228429546867,0.00027607150251915245,0.0018058690744920992,0.0021103593817888397,0.001853390426279798,0.0006689410662920597,0.004325450699333817,0.002421902421902422,0.0023369036027263874,0.0002281151981750784,0.0006402048655569782,0.003901253517523663,0.0007473841554559044,0.0006760494130661914,0.002931655774751115,0.00023675643681562593,0.0029354207436399216,0.003144036156415799,0.0021377672209026127,0.0005845560296954463,0.0007812969529418835,0.0009855794169519659,0.0004218900675024108,0.0009876218066894916,0.003671602263151559,0.001529613313754283,0.0013855213023900243,0.0015624212489289855,0.01357521154197358,0.004165157551611735,0.001218808133940599,0.0011703110563597166,0.0010804240664460802,0.0003386157388595422,9.901970492127933e-05,0.0013468407799964864,0.0013385251886103675,0.003925657854382629,0.0018572018159306646,0.0018516232563881001,0.000790706161425704,0.0013593672763222936,0.003589177250138045,0.0017153748411689962,0.006006818550787381,0.0006103143118706134,0.0010894495412844037,0.001201923076923077,0.0033559171784968023,0.0018940589683692152,0.0011018524894979684,0.002519577800476677,0.0035705784337062606,0.0028504944735311226,0.001067995728017088,0.002024653129280057,0.002185038238169168,0.0026976307764485104,0.00013798813302056022,0.0005676442762535478,0.002228826151560178,0.0012809802283486494,0.0007925379503749314,0.0027684159845931633,0.0077466237060396246,0.0007099331479619003,0.001880804043728694,0.0019913518434228495,0.003616764768456138,0.0027025200999932436,0.0032104637336504162,0.00175054704595186,0.0008619296449927275,0.001112759643916914,0.0005573514658343551,0.0016059001962766906,0.0010864316755190729,0.006533812479581836,0.0013725123214174309,0.001658374792703151,0.0012885906040268457,0.0015442822948034901,0.0033651512700210323,0.0024157660521296883,0.0004104608889410109,0.0012809173808289364,0.0012738080795826761,0.001866512196691768,0.0030528195380450434,0.0029101491451436886,0.0032291308828581245,0.003329918032786885,0.005831099195710456,0.002693320564998803,0.0018767143063375198,0.0009941016634634503,0.0005442999697611128,0.0010360547036883548,0.002216099664590321,0.0007220216606498195,0.0011614401858304297,0.006262074478715608
R-M,0.00045196032158753693,0.0005894681687188892,0.0003758691975192633,0.0001168429047146112,0.000422267576887888,0.0003497971176717504,0.0002459873316524199,0.00112145340361108,0.0,0.000198294665873488,0.0010230179028132991,0.00017514157277132348,0.00018621973929236498,0.00020705362688936435,6.449532408900354e-05,0.0003724163614921482,0.0003195500734965169,0.0002006823198876179,0.00022100842989296877,3.51000351000351e-05,0.00045439792275235314,0.0009694895922440832,0.00017460132697008496,0.00012790995139421848,0.00022996435552489363,0.0003072951877573597,0.00024430464789592624,0.0004439183190292986,0.00034945485043332404,0.0005240060260692998,5.9382422802850356e-05,0.0009937452504822587,0.0011118456638019112,0.00025936300446104365,0.00018081002892960464,0.0007900974453515934,0.00024076080414108582,0.0024473813020068525,0.0006927606511950121,0.0006552089108411874,0.00018262616424179705,0.0003018230109863576,0.0020527294887420617,0.0004927625500461965,0.00013505300830576002,0.0016253555465258025,0.00033006568307093114,0.0003513497686947356,0.0006692625943051837,0.00042936882782310007,0.00013757050488375291,0.00111097395383286,0.0015205887719725079,0.00030894710825506676,0.0002760905577029266,0.0003811944091486658,0.0003246928946371557,0.0012206286237412267,0.00034403669724770644,0.00040064102564102563,0.0002532767681884379,0.0005682176905107645,6.886578059362302e-05,0.00034048348655090226,0.00011901928112354201,0.0004072134962187318,0.00047466476800759466,0.00017864586434824034,0.0010350181128169743,0.0005277973258268825,0.00048295846557196083,0.000946073793755913,0.0019192669638434868,0.0003341687552213868,0.00012192891544229714,0.0005416466056812711,0.0002056625762665387,0.00023664438265396675,0.0015869284118960856,5.689576695493855e-05,0.0,0.00013512600499966218,0.00011890606420927467,0.0010003125976867772,0.0009158002478047729,0.000185459940652819,0.00033441087950061306,0.00011895557009456968,0.0006035731530661516,0.0006533812479581836,0.00018716077110237696,0.0002456851544745409,0.00010738255033557047,0.0002316423442205235,0.00016178611875101117,0.000508582326764145,0.0003518236190922951,3.049803287687944e-05,6.0657527599175054e-05,9.654373431164318e-05,0.0002880018432117966,0.00018188432157148054,0.00041222947440742015,0.0,0.0013404825737265416,0.00017955470433325354,0.00021654395842355997,0.00019882033269269004,0.00018143332325370426,0.0001381406271584473,5.989458552946814e-05,0.00042117930204572804,0.0008065556846044651,0.0010658850176537206
